transaction_id,company_id,date,amount
txn-1,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-15,1764
txn-2,73d5d45c-2547-580c-8421-e4819278af3a,2023-12-29,2913
txn-3,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-04,1508
txn-4,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-20,3662
txn-5,73d5d45c-2547-580c-8421-e4819278af3a,2023-12-23,2050
txn-6,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-08,4443
txn-7,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-16,2588
txn-8,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-14,4487
txn-9,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-03,4213
txn-10,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-15,1401
txn-11,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-04,3057
txn-12,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-04,202
txn-13,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-18,4548
txn-14,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-18,575
txn-15,73d5d45c-2547-580c-8421-e4819278af3a,2023-12-23,1401
txn-16,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-02,4182
txn-17,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-08,263
txn-18,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-12,3690
txn-19,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-06,3749
txn-20,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-05,2036
txn-21,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-17,4518
txn-22,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-31,4267
txn-23,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-18,2240
txn-24,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-04,3326
txn-25,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-19,3354
txn-26,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-03,495
txn-27,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-14,2362
txn-28,73d5d45c-2547-580c-8421-e4819278af3a,2023-12-23,1139
txn-29,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-20,392
txn-30,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-28,4572
txn-31,73d5d45c-2547-580c-8421-e4819278af3a,2023-12-22,901
txn-32,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-14,370
txn-33,73d5d45c-2547-580c-8421-e4819278af3a,2023-12-29,4393
txn-34,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-10,2147
txn-35,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-20,4897
txn-36,73d5d45c-2547-580c-8421-e4819278af3a,2023-12-31,3199
txn-37,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-13,900
txn-38,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-06,1604
txn-39,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-12,2748
txn-40,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-18,4757
txn-41,73d5d45c-2547-580c-8421-e4819278af3a,2023-12-24,3468
txn-42,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-17,2542
txn-43,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-15,2162
txn-44,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-18,1700
txn-45,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-13,2743
txn-46,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-14,3448
txn-47,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-20,2541
txn-48,73d5d45c-2547-580c-8421-e4819278af3a,2023-12-24,617
txn-49,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-29,550
txn-50,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-16,2861
txn-51,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-20,334
txn-52,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-25,2307
txn-53,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-19,4984
txn-54,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-08,4925
txn-55,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-13,3076
txn-56,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-02,2313
txn-57,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-04,4475
txn-58,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-04,3526
txn-59,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-20,4686
txn-60,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-18,1666
txn-61,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-19,746
txn-62,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-28,767
txn-63,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-22,3506
txn-64,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-16,3752
txn-65,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-02,2777
txn-66,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-16,4789
txn-67,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-28,3636
txn-68,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-01,158
txn-69,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-05,4781
txn-70,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-15,729
txn-71,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-07,1271
txn-72,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-03,4526
txn-73,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-04,795
txn-74,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-07,1217
txn-75,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-04,4362
txn-76,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-12,883
txn-77,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-14,4199
txn-78,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-11,3322
txn-79,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-02,1866
txn-80,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-11,1166
txn-81,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-11,427
txn-82,73d5d45c-2547-580c-8421-e4819278af3a,2023-12-27,1428
txn-83,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-15,3305
txn-84,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-02,3804
txn-85,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-24,3179
txn-86,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-01,4437
txn-87,73d5d45c-2547-580c-8421-e4819278af3a,2023-12-29,3439
txn-88,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-31,2412
txn-89,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-14,2817
txn-90,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-13,3397
txn-91,73d5d45c-2547-580c-8421-e4819278af3a,2024-02-01,1640
txn-92,73d5d45c-2547-580c-8421-e4819278af3a,2023-12-31,4351
txn-93,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-02,2109
txn-94,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-30,3526
txn-95,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-27,3125
txn-96,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-20,1402
txn-97,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-12,1706
txn-98,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-06,2760
txn-99,73d5d45c-2547-580c-8421-e4819278af3a,2024-03-02,505
txn-100,73d5d45c-2547-580c-8421-e4819278af3a,2024-01-23,4917
txn-101,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-01-30,4128
txn-102,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-02-14,4348
txn-103,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-02-12,3085
txn-104,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-01-31,409
txn-105,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-02-27,3601
txn-106,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-01-27,1485
txn-107,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-02-03,2722
txn-108,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-02-23,1752
txn-109,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-02-18,978
txn-110,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-03-16,3608
txn-111,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-02-02,3178
txn-112,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-03-01,1066
txn-113,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-03-12,3740
txn-114,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2023-12-26,1628
txn-115,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-01-30,3225
txn-116,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-01-13,2674
txn-117,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-02-12,1996
txn-118,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2023-12-24,4601
txn-119,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-02-05,602
txn-120,8bc636b5-95d7-58d7-88a3-d3c4faaed252,2024-01-25,2605
