company,rank,rank_change,revenue,profit,num of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,Website,Ticker,Market Cap
Harley-Davidson,572,0.0,5336.3,650.0,5800.0,Transportation,Milwaukee,WI,no,no,no,yes, ,Jochen Zeitz,https://www.harley-davidson.com,HOG,6062.9
Telephone & Data Systems,573,0.0,5329.0,156.0,8800.0,Telecommunications,Chicago,IL,no,no,no,yes, ,LeRoy T. Carlson Jr.,https://www.tdsinc.com,TDS,2163.4
ADT,574,0.0,5307.1,-340.8,25000.0,Business Services,Boca Raton,FL,no,no,no,no, ,James D. DeVries,https://www.adt.com,ADT,6843
First Republic Bank,575,0.0,5305.0,1478.0,6295.0,Financials,San Francisco,CA,no,no,no,yes, ,Michael J. Roffler,https://www.firstrepublic.com,FRC,29113.6
Warner Music Group,576,0.0,5301.0,304.0,5900.0,Media,New York,NY,no,no,no,yes, ,Stephen F. Cooper,https://www.wmg.com,WMG,19485.7
Pool,577,0.0,5295.6,650.6,5650.0,Wholesalers,Covington,LA,no,no,no,yes, ,Peter Arvan,https://www.poolcorp.com,POOL,12608
Old Dominion Freight Line,578,0.0,5256.3,1034.4,23663.0,Transportation,Thomasville,NC,no,no,no,yes, ,Greg C. Gantt,https://www.odfl.com,ODFL,34307.5
Fortive,579,0.0,5254.7,608.4,18000.0,Industrials,Everett,WA,no,no,no,yes, ,James A. Lico,https://www.fortive.com,FTV,21877.9
MDC Holdings,580,0.0,5254.7,573.7,2080.0,Engineering & Construction,Denver,CO,no,no,no,yes, ,David D. Mandarich,https://www.mdcholdings.com,MDC,2692.7
NGL Energy Partners,581,0.0,5243.2,-639.8,997.0,Energy,Tulsa,OK,no,no,no,no, ,H. Michael Krimbill,https://www.nglenergypartners.com,NGL,288.6
Edwards Lifesciences,582,0.0,5232.5,1503.1,15700.0,Health Care,Irvine,CA,no,no,no,yes, ,Michael A. Mussallem,https://www.edwards.com,EW,73141.4
Hanover Insurance Group,583,0.0,5227.8,418.7,4400.0,Financials,Worcester,MA,no,no,no,yes, ,John C. Roche,https://www.hanover.com,THG,5317.9
Syneos Health,584,0.0,5213.0,234.8,27443.0,Health Care,Morrisville,NC,no,no,yes,yes, ,Michelle Keefe,https://www.syneoshealth.com,SYNH,8436.7
Xylem,585,0.0,5195.0,427.0,16700.0,Industrials,Washington,DC,no,no,no,yes, ,Patrick K. Decker,https://www.xylem.com,XYL,15354.7
Church & Dwight,586,0.0,5190.1,827.5,5100.0,Household Products,Ewing,NJ,no,no,no,yes, ,Matthew T. Farrell,https://www.churchdwight.com,CHD,24119.1
American Axle & Manufacturing,587,0.0,5156.6,5.9,18000.0,Motor Vehicles & Parts,Detroit,MI,no,no,no,yes, ,David C. Dauch,https://www.aam.com,AXL,888.3
Meritage Homes,588,0.0,5141.3,737.4,1773.0,Engineering & Construction,Scottsdale,AZ,no,no,no,yes, ,Phillippe Lord,https://www.meritagehomes.com,MTH,2907.3
Workday,589,0.0,5138.8,29.4,15200.0,Technology,Pleasanton,CA,no,yes,no,yes, ,#REF!,https://www.workday.com,WDAY,60583.4
Rush Enterprises,590,0.0,5126.1,241.4,7141.0,Retailing,New Braunfels,TX,no,no,no,yes, ,W. M. Rush,https://www.rushenterprises.com,RUSHB,2788.5
Yellow,591,0.0,5121.8,-109.1,32000.0,Transportation,Nashville,TN,no,no,no,no, ,Darren D. Hawkins,https://www.myyellow.com,YELL,360.3
Encompass Health,592,0.0,5121.6,412.2,35681.0,Health Care,Birmingham,AL,no,no,no,yes, ,Mark J. Tarr,https://www.encompasshealth.com,EHC,7071.1
Simon Property Group,593,0.0,5116.8,2249.6,2850.0,Financials,Indianapolis,IN,no,no,no,yes, ,David E. Simon,https://www.simon.com,SPG,43197.8
Globe Life,594,0.0,5112.9,745.0,3222.0,Financials,McKinney,TX,no,no,no,yes, ,#REF!,https://www.globelifeinsurance.com,GL,9977.3
Skyworks Solutions,595,0.0,5109.1,1498.3,10945.0,Technology,Irvine,CA,no,no,no,yes, ,Liam K. Griffin,https://www.skyworksinc.com,SWKS,21547.5
Endeavor Group Holdings,596,0.0,5077.7,-296.6,7700.0,Media,Beverly Hills,CA,no,no,no,no, ,Ariel Emanuel,https://www.endeavorco.com,EDR,20363.1
Twitter,597,0.0,5077.5,-221.4,7500.0,Technology,San Francisco,CA,no,no,no,no, ,Elon Musk,https://www.twitter.com,,30976.8
Leggett & Platt,598,0.0,5072.6,402.4,20300.0,Household Products,Carthage,MO,no,no,no,yes, ,J. Mitchell Dolloff,https://www.leggett.com,LEG,4659
Western Union,599,0.0,5070.8,805.8,10500.0,Business Services,Denver,CO,no,no,no,yes, ,Devin B. McGranahan,https://www.westernunion.com,WU,7374.7
PerkinElmer,600,0.0,5067.2,943.2,16700.0,Health Care,Waltham,MA,no,no,no,yes, ,Prahlad Singh,https://www.perkinelmer.com,PKI,15984
SS&C Technologies Holdings,601,0.0,5051.0,800.0,24900.0,Technology,Windsor,CT,no,yes,no,yes, ,William C. Stone,https://www.ssctech.com,SSNC,19235.1
CUNA Mutual Group,602,0.0,5049.5,622.3,4100.0,Financials,Madison,WI,no,no,no,yes, ,Robert N. Trunzo,https://www.cunamutual.com,,
FMC,603,0.0,5045.2,736.5,6400.0,Chemicals,Philadelphia,PA,no,no,no,yes, ,Mark A. Douglas,https://www.fmc.com,FMC,16563.8
Carlisle,604,0.0,5030.0,421.7,11250.0,Materials,Scottsdale,AZ,no,no,no,yes, ,D. Christian Koch,https://www.carlisle.com,CSL,12804.5
American Eagle Outfitters,605,0.0,5010.8,419.6,24000.0,Retailing,Pittsburgh,PA,no,no,no,yes, ,Jay L. Schottenstein,https://www.aeo-inc.com,AEO,2836.6
Core & Main,606,0.0,5004.0,166.0,4100.0,Wholesalers,St. Louis,MO,no,no,no,yes, ,Stephen O. LeClair,https://www.coreandmain.com,CNM,5948.8
Vertiv Holdings,607,0.0,4998.1,119.6,24000.0,Industrials,Columbus,OH,no,no,no,yes, ,Robert J. Johnson,https://www.vertiv.com,VRT,5263.9
Broadridge Financial Solutions,608,0.0,4993.7,547.5,13704.0,Business Services,Lake Success,NY,no,no,no,yes, ,Timothy C. Gokey,https://www.broadridge.com,BR,18182.7
Ingles Markets,609,0.0,4987.9,249.7,18460.0,Food & Drug Stores,Black Mountain,NC,no,no,no,yes, ,James W. Lanning,https://www.ingles-markets.com,IMKTA,1691.4
TPG,610,0.0,4976.4,2180.9,1013.0,Financials,Fort Worth,TX,no,no,no,yes, ,Jon Winkelried,https://www.tpg.com,TPG,9304.9
Insperity,611,0.0,4973.1,124.1,3600.0,Business Services,Kingwood,TX,no,yes,no,yes, ,Paul J. Sarvadi,https://www.insperity.com,NSP,3849.8
Howmet Aerospace,612,0.0,4972.0,258.0,19900.0,Aerospace & Defense,Pittsburgh,PA,no,no,no,yes, ,John C. Plant,https://www.howmet.com,HWM,15055.4
R.R. Donnelley & Sons,613,0.0,4963.7,3.7,32000.0,Media,Chicago,IL,no,no,no,yes, ,Thomas J. Quinlan III,https://www.rrd.com,RRD,289.9
Keysight Technologies,614,0.0,4941.0,894.0,14300.0,Technology,Santa Rosa,CA,no,no,no,yes, ,Satish Dhanasekaran,https://www.keysight.com,KEYS,28746.6
Tempur Sealy International,615,0.0,4930.8,624.5,12000.0,Household Products,Lexington,KY,no,no,no,yes, ,Scott Thompson,https://www.tempursealy.com,TPX,4506
Scotts Miracle-Gro,616,0.0,4925.0,512.5,8050.0,Chemicals,Marysville,OH,no,no,no,yes, ,James S. Hagedorn,https://www.scotts.com,SMG,6834.6
Equifax,617,0.0,4923.9,744.2,12700.0,Business Services,Atlanta,GA,no,no,no,yes, ,Mark W. Begor,https://www.equifax.com,EFX,29141.8
Kelly Services,618,0.0,4909.7,156.1,7400.0,Business Services,Troy,MI,no,no,no,yes, ,Peter W. Quigley,https://www.kellyservices.com,KELYA,856
NiSource,619,0.0,4899.6,584.9,7307.0,Energy,Merrillville,IN,no,no,no,yes, ,Lloyd M. Yates,https://www.nisource.com,NI,12891.2
OneMain Holdings,620,0.0,4895.0,1314.0,8800.0,Financials,Evansville,IN,no,no,no,yes, ,Douglas H. Shulman,https://www.omf.com,OMF,6042.8
DoorDash,621,0.0,4888.0,-468.0,8600.0,Technology,San Francisco,CA,no,yes,no,no, ,Tony Xu,https://https://ir.doordash.com,DASH,40830.3
Avient,622,0.0,4818.8,230.8,8700.0,Chemicals,Avon Lake,OH,no,no,no,yes, ,Robert M. Patterson,https://www.avient.com,AVNT,4388.4
Sanderson Farms,623,0.0,4799.7,455.1,17662.0,"Food, Beverages & Tobacco",Laurel,MS,no,no,no,yes, ,Joe F. Sanderson Jr.,https://www.sandersonfarms.com,,4185.4
TransDigm Group,624,0.0,4798.0,680.0,13300.0,Aerospace & Defense,Cleveland,OH,no,no,no,yes, ,Kevin M. Stein,https://www.transdigm.com,TDG,36135.8
Stifel Financial,625,0.0,4783.1,824.9,8600.0,Financials,St. Louis,MO,no,no,no,yes, ,Ronald J. Kruszewski,https://www.stifel.com,SF,7226
JELD-WEN Holding,626,0.0,4771.7,168.8,24700.0,Materials,Charlotte,NC,no,no,no,yes, ,Kevin C. Lilly,https://www.jeld-wen.com,JELD,1826
Ares Management,627,0.0,4770.6,408.8,2100.0,Financials,Los Angeles,CA,no,yes,no,yes, ,Michael Arougheti,https://www.aresmgmt.com,ARES,18940
Elanco Animal Health,628,0.0,4765.0,-472.0,9800.0,Health Care,Greenfield,IN,no,no,no,no, ,Jeffrey N. Simmons,https://www.elanco.com,ELAN,12345.4
Prologis,629,0.0,4759.4,2939.7,2053.0,Financials,San Francisco,CA,no,yes,no,yes, ,Hamid R. Moghadam,https://www.prologis.com,PLD,119524.5
Welltower,630,0.0,4742.1,336.1,464.0,Financials,Toledo,OH,no,no,no,yes, ,Shankh S. Mitra,https://www.welltower.com,WELL,43001.5
Darling Ingredients,631,0.0,4741.4,650.9,9900.0,"Food, Beverages & Tobacco",Irving,TX,no,no,no,yes, ,Randall C. Stuewe,https://www.darlingii.com,DAR,12987.4
Juniper Networks,632,0.0,4735.4,252.7,10191.0,Technology,Sunnyvale,CA,no,no,no,yes, ,Rami Rahim,https://www.juniper.net,JNPR,11986.6
Gartner,633,0.0,4734.0,793.6,16600.0,Technology,Stamford,CT,no,no,no,yes, ,Eugene A. Hall,https://www.gartner.com,IT,24477.2
Par Pacific Holdings,634,0.0,4710.1,-81.3,1336.0,Energy,Houston,TX,no,no,no,no, ,William C. Pate,https://www.parpacific.com,PARR,783.3
Hubbell,635,0.0,4703.5,399.5,18300.0,Industrials,Shelton,CT,no,no,no,yes, ,Gerben W. Bakker,https://www.hubbell.com,HUBB,9959.6
CME Group,636,0.0,4689.7,2636.4,3480.0,Financials,Chicago,IL,no,no,no,yes, ,Terrence A. Duffy,https://www.cmegroup.com,CME,85492.3
Nexstar Media Group,637,0.0,4648.4,834.6,11817.0,Media,Irving,TX,no,yes,no,yes, ,Perry Sook,https://www.nexstar.tv,NXST,6883
Tutor Perini,638,0.0,4641.8,91.9,7800.0,Engineering & Construction,Sylmar,CA,no,no,no,yes, ,Ronald N. Tutor,https://www.tutorperini.com,TPC,551.8
Antero Resources,639,0.0,4619.4,-186.9,519.0,Energy,Denver,CO,no,yes,no,no, ,Paul M. Rady,https://www.anteroresources.com,AR,9608
Teledyne Technologies,640,0.0,4614.3,445.3,14500.0,Aerospace & Defense,Thousand Oaks,CA,no,no,no,yes, ,Robert Mehrabian,https://www.teledyne.com,TDY,22102.9
Snap-on,641,0.0,4601.7,820.5,12800.0,Industrials,Kenosha,WI,no,no,no,yes, ,Nicholas T. Pinchuk,https://www.snapon.com,SNA,10976.1
Rent-A-Center,642,0.0,4583.5,134.9,14290.0,Retailing,Plano,TX,no,no,no,yes, ,Mitchell E. Fadel,https://www.rentacenter.com,RCII,1486.9
Covetrus,643,0.0,4575.0,-54.0,4873.0,Health Care,Portland,ME,no,no,no,no, ,Benjamin Wolin,https://https://covetrus.com/,CVET,2319.3
Crestwood Equity Partners,644,0.0,4569.0,-78.5,645.0,Energy,Houston,TX,no,yes,no,no, ,Robert G Phillips,https://www.crestwoodlp.com,CEQP,2931.5
Louisiana-Pacific,645,0.0,4553.0,1377.0,4800.0,Materials,Nashville,TN,no,no,no,yes, ,W. Bradley Southern,https://www.lpcorp.com,LPX,4071
Urban Outfitters,646,0.0,4548.8,310.6,16330.0,Retailing,Philadelphia,PA,no,yes,no,yes, ,Richard A. Hayne,https://www.urbn.com,URBN,2421.4
Penn Mutual Life Insurance,647,0.0,4545.6,522.9,3194.0,Financials,Horsham,PA,no,no,no,yes, ,David M. O&#039;Malley,https://www.pennmutual.com,,
Amerco,648,0.0,4542.0,610.9,22052.0,Transportation,Reno,NV,no,no,no,yes, ,Edward J. Shoen,https://www.amerco.com,UHAL,11704.7
TriNet Group,649,0.0,4540.0,338.0,2800.0,Business Services,Dublin,CA,no,no,no,yes, ,Burton M. Goldfield,https://www.trinet.com,TNET,6482.5
Sentry Insurance Group,650,0.0,4526.2,739.9,4064.0,Financials,Stevens Point,WI,no,no,no,yes, ,Peter G. McPartland,https://www.sentry.com,,
Illumina,651,0.0,4526.0,762.0,10775.0,Technology,San Diego,CA,no,no,no,yes, ,Francis A. deSouza,https://www.illumina.com,ILMN,54855.8
Iron Mountain,652,0.0,4491.5,450.2,25000.0,Business Services,Boston,MA,no,no,no,yes, ,William L. Meaney,https://www.ironmountain.com,IRM,16059.5
LCI Industries,653,0.0,4472.7,287.7,13900.0,Motor Vehicles & Parts,Elkhart,IN,no,no,no,yes, ,Jason D. Lippert,https://www.lci1.com,LCII,2624.5
Marvell Technology,654,0.0,4462.4,-421.0,6712.0,Technology,Wilmington,DE,no,no,no,no, ,Matthew J. Murphy,https://www.marvell.com,MRVL,60795.7
PennyMac Financial Services,655,0.0,4450.2,1003.5,7208.0,Financials,Westlake Village,CA,no,no,no,yes, ,David Spector,https://ir.pennymacfinancial.com,PFSI,2368
Digital Realty Trust,656,0.0,4427.9,1709.3,3030.0,Financials,Austin,TX,no,no,no,yes, ,A. William Stein,https://www.digitalrealty.com,DLR,40337.7
TreeHouse Foods,657,0.0,4405.5,-12.5,10000.0,"Food, Beverages & Tobacco",Oak Brook,IL,no,no,no,no, ,Steven T. Oakland,https://www.treehousefoods.com,THS,1800
Ralph Lauren,658,0.0,4400.8,-121.1,16200.0,Apparel,New York,NY,no,no,no,no, ,Patrice Louvet,https://www.ralphlauren.com,RL,8073.2
Mattress Firm Group,659,0.0,4392.9,-165.1,8900.0,Retailing,Houston,TX,no,no,no,no, ,John W. Eck,https://www.mattressfirm.com,,
American National Group,660,0.0,4391.8,699.3,4545.0,Financials,Galveston,TX,no,no,no,yes, ,James E. Pozzi,https://www.americannational.com,,5084.1
Autodesk,661,0.0,4386.4,497.0,12600.0,Technology,San Rafael,CA,no,no,no,yes, ,Andrew Anagnost,https://www.autodesk.com,ADSK,46580
Domino's Pizza,662,0.0,4357.4,510.5,10450.0,"Hotels, Restaurants & Leisure",Ann Arbor,MI,no,no,no,yes, ,Russell J. Weiner,https://www.dominos.com,DPZ,14665.9
ASGN,663,0.0,4333.8,409.9,3900.0,Business Services,Glen Allen,VA,no,no,no,yes, ,Theodore S. Hanson,https://www.asgn.com,ASGN,6022.2
Flowers Foods,664,0.0,4330.8,206.2,8900.0,"Food, Beverages & Tobacco",Thomasville,GA,no,no,no,yes, ,A. Ryals McMullian,https://www.flowersfoods.com,FLO,5438.6
BlueLinx Holdings,665,0.0,4277.2,296.1,2045.0,Wholesalers,Marietta,GA,no,no,no,yes, ,Dwight A.K. Gibson,https://www.bluelinxco.com,BXC,699.5
Palo Alto Networks,666,0.0,4256.1,-498.9,10473.0,Technology,Santa Clara,CA,no,no,no,no, ,Nikesh Arora,https://www.paloaltonetworks.com,PANW,61307.5
Maximus,667,0.0,4254.5,291.2,35800.0,Technology,Reston,VA,no,no,no,yes, ,Bruce L. Caswell,https://www.maximus.com,MMS,4641.1
Dentsply Sirona,668,0.0,4251.0,421.0,15000.0,Health Care,Charlotte,NC,no,no,no,yes, ,Simon D. Campion,https://www.dentsplysirona.com,XRAY,10708
Hub Group,669,0.0,4232.4,171.5,4700.0,Transportation,Oak Brook,IL,no,no,no,yes, ,David P. Yeager,https://www.hubgroup.com,HUBG,2678.5
Bread Financial Holdings,670,0.0,4230.0,801.0,6000.0,Business Services,Columbus,OH,no,no,no,yes, ,Ralph J. Andretta,https://www.breadfinancial.com,BFH,2804.6
Voya Financial,670,0.0,4230.0,2126.0,5970.0,Financials,New York,NY,no,no,no,yes, ,Rodney O. Martin Jr.,https://www.voya.com,VOYA,7042.2
Weis Markets,672,0.0,4224.4,108.8,24000.0,Food & Drug Stores,Sunbury,PA,no,no,no,yes, ,Jonathan H. Weis,https://www.weismarkets.com,WMK,1921.1
Century Communities,673,0.0,4216.3,498.5,1600.0,Engineering & Construction,Greenwood Village,CO,no,yes,no,yes, ,Dale Francescon/Robert Francescon,https://www.centurycommunities.com,CCS,1388
Synopsys,674,0.0,4204.2,757.5,16361.0,Technology,Mountain View,CA,no,yes,no,yes, ,Aart J. de Geus,https://www.synopsys.com,SNPS,51023.2
Brink's,675,0.0,4200.2,105.2,73350.0,Business Services,Richmond,VA,no,no,no,yes, ,Mark Eubanks,https://www.brinks.com,BCO,3234.4
Lennox International,676,0.0,4194.1,464.0,11000.0,Industrials,Richardson,TX,no,no,no,yes, ,Alok Maskara,https://www.lennoxinternational.com,LII,9447.2
Service Corp. International,677,0.0,4143.1,802.9,20840.0,Business Services,Houston,TX,no,no,no,yes, ,Thomas L. Ryan,https://www.sci-corp.com,SCI,10581.3
Conduent,678,0.0,4140.0,-28.0,60000.0,Business Services,Florham Park,NJ,no,no,no,no, ,Clifford A. Skelton,https://www.conduent.com,CNDT,1111.6
Timken,679,0.0,4132.9,369.1,18029.0,Industrials,North Canton,OH,no,no,no,yes, ,Richard G. Kyle,https://www.timken.com,TKR,4539.6
Domtar,680,0.0,4132.0,-27.0,6100.0,Materials,Fort Mill,SC,no,no,no,no, ,John D. Williams,https://www.domtar.com,,1856.2
Bloomin' Brands,681,0.0,4122.4,215.6,82000.0,"Hotels, Restaurants & Leisure",Tampa,FL,no,no,no,yes, ,David J. Deno,https://www.bloominbrands.com,BLMN,1966.6
CNO Financial Group,682,0.0,4122.2,441.0,3350.0,Financials,Carmel,IN,no,no,no,yes, ,Gary C. Bhojwani,https://www.cnoinc.com,CNO,2945.7
Snap,683,0.0,4117.0,-488.0,5661.0,Technology,Santa Monica,CA,no,yes,no,no, ,Evan Spiegel,https://www.snap.com,SNAP,58458.4
Zoom Video Communications,684,0.0,4099.9,1375.6,6787.0,Technology,San Jose,CA,no,yes,no,yes, ,Eric Yuan,https://www.zoom.us,ZM,22826
Patrick Industries,685,0.0,4078.1,224.9,11000.0,Materials,Elkhart,IN,no,no,no,yes, ,Andy L. Nemeth,https://www.patrickind.com,PATK,1408.2
Paychex,686,0.0,4056.8,1097.5,15000.0,Business Services,Rochester,NY,no,no,no,yes, ,John B. Gibson,https://www.paychex.com,PAYX,49268
Atlas Air Worldwide Holdings,687,0.0,4030.8,493.3,4056.0,Transportation,Purchase,NY,no,no,no,yes, ,John W. Dietrich,https://www.atlasairworldwide.com,AAWW,2523.4
Bright Health Group,688,0.0,4029.4,-1184.9,3203.0,Health Care,Minneapolis,MN,no,no,no,no, ,G. Mike Mikan,https://www.brighthealthcare.com,BHG,1213.5
Peloton Interactive,689,0.0,4021.8,-189.0,8662.0,"Hotels, Restaurants & Leisure",New York,NY,no,no,no,no, ,Barry McCarthy,https://www.onepeloton.com,PTON,8760.9
Country Financial,690,0.0,4016.2,419.2,3149.0,Financials,Bloomington,IL,no,no,no,yes, ,Jim Jacobs,https://www.countryfinancial.com,,
Qorvo,691,0.0,4015.3,733.6,8750.0,Technology,Greensboro,NC,no,no,no,yes, ,Robert A. Bruggeworth,https://www.qorvo.com,QRVO,13456.4
Catalent,692,0.0,3998.0,585.0,17300.0,Health Care,Somerset,NJ,no,no,no,yes, ,Alessandro Maselli,https://www.catalent.com,CTLT,13377
Mercury General,693,0.0,3993.4,247.9,4300.0,Financials,Los Angeles,CA,no,no,no,yes, ,Gabriel Tirador,https://www.mercuryinsurance.com,MCY,3045.4
AMN Healthcare Services,694,0.0,3984.2,327.4,3800.0,Health Care,Dallas,TX,no,no,yes,yes, ,Susan Salka,https://www.amnhealthcare.com,AMN,4867
Tri Pointe Homes,695,0.0,3982.2,469.3,1390.0,Engineering & Construction,Incline Village,NV,no,no,no,yes, ,Douglas F. Bauer,https://www.tripointehomes.com,TPH,2160.1
ArcBest,696,0.0,3980.1,213.5,14000.0,Transportation,Fort Smith,AR,no,no,yes,yes, ,Judy R. McReynolds,https://www.arcb.com,ARCB,1979.7
Toro,697,0.0,3959.6,409.9,10982.0,Industrials,Bloomington,MN,no,no,no,yes, ,Richard M. Olson,https://www.thetorocompany.com,TTC,8936.9
Spirit AeroSystems Holdings,698,0.0,3953.0,-540.8,16100.0,Aerospace & Defense,Wichita,KS,no,no,no,no, ,Thomas C. Gentile III,https://www.spiritaero.com,SPR,5130.6
Align Technology,699,0.0,3952.6,772.0,22540.0,Health Care,Tempe,AZ,no,no,no,yes, ,Joseph M. Hogan,https://www.aligntech.com,ALGN,34354.8
loanDepot,700,0.0,3943.2,113.5,11307.0,Financials,Foothill Ranch,CA,no,no,no,yes, ,Frank Martell,https://www.loandepot.com,LDI,1290.3
APi Group,701,0.0,3940.0,47.0,13300.0,Engineering & Construction,New Brighton,MN,no,no,no,yes, ,Russell A. Becker,https://www.apigroupcorp.com,APG,4891.1
American Water Works,702,0.0,3930.0,1263.0,6400.0,Energy,Camden,NJ,no,no,yes,yes, ,M. Susan Hardwick,https://www.amwater.com,AWK,30085.5
Matson,703,0.0,3925.3,927.4,4259.0,Transportation,Honolulu,HI,no,no,no,yes, ,Matthew J. Cox,https://www.matson.com,MATX,2740
Diebold Nixdorf,704,0.0,3905.2,-78.8,22000.0,Technology,Hudson,OH,no,no,no,no, ,Octavio Marquez,https://www.dieboldnixdorf.com,DBD,531.2
Marriott Vacations Worldwide,705,0.0,3890.0,49.0,20300.0,"Hotels, Restaurants & Leisure",Orlando,FL,no,no,no,yes, ,Stephen P. Weisz,https://www.marriottvacationsworldwide.com,VAC,6620
Terex,706,0.0,3886.8,220.9,8600.0,Industrials,Norwalk,CT,no,no,no,yes, ,John L. Garrison Jr.,https://www.terex.com,TEX,2485.5
Sally Beauty Holdings,707,0.0,3875.0,239.9,29000.0,Retailing,Denton,TX,no,no,yes,yes, ,Denise A. Paulonis,https://www.sallybeautyholdings.com,SBH,1720.5
Enovis,708,0.0,3854.3,71.7,16200.0,Industrials,Wilmington,DE,no,no,no,yes, ,Matthew L. Trerotola,https://www.enovis.com,ENOV,6419.3
IAC,709,0.0,3845.1,597.5,13200.0,Technology,New York,NY,no,no,no,yes, ,Joseph M. Levin,https://www.iac.com,IAC,9001.4
Meritor,710,0.0,3833.0,199.0,9600.0,Motor Vehicles & Parts,Troy,MI,no,no,no,yes, ,Chris Villavarayan,https://www.meritor.com,,2519.4
Ventas,711,0.0,3828.0,49.0,434.0,Financials,Chicago,IL,no,no,yes,yes, ,Debra A. Cafaro,https://www.ventasreit.com,VTR,24676.2
GoDaddy,712,0.0,3815.7,242.3,6611.0,Technology,Tempe,AZ,no,no,no,yes, ,Aman Bhutani,https://www.godaddy.com,GDDY,14018.7
Regal Rexnord,713,0.0,3810.3,209.9,30000.0,Industrials,Beloit,WI,no,no,no,yes, ,Louis V. Pinkham,https://www.regalrexnord.com,RRX,10002.1
Puget Energy,714,0.0,3805.7,260.8,3185.0,Energy,Bellevue,WA,no,no,yes,yes, ,Mary E. Kipp,https://www.pugetenergy.com,,
Clean Harbors,715,0.0,3805.6,203.2,18300.0,Business Services,Norwell,MA,no,yes,no,yes, ,Alan S. McKim,https://www.cleanharbors.com,CLH,6073.8
Pinnacle West Capital,716,0.0,3803.8,618.7,5872.0,Energy,Phoenix,AZ,no,no,no,yes, ,Jeffrey B Guldner,https://www.pinnaclewest.com,PNW,8820
eXp World Holdings,717,0.0,3771.2,81.2,1669.0,Financials,Bellingham,WA,no,yes,no,yes, ,Glenn Sanford,https://www.expworldholdings.com,EXPI,3149.3
Mueller Industries,718,0.0,3769.3,468.5,5337.0,Industrials,Collierville,TN,no,no,no,yes, ,Gregory L. Christopher,https://www.muellerindustries.com,MLI,3100.4
Wynn Resorts,719,0.0,3763.7,-755.8,26950.0,"Hotels, Restaurants & Leisure",Las Vegas,NV,no,no,no,no, ,Craig S. Billings,https://www.wynnresorts.com,WYNN,9243.3
RH,720,0.0,3758.8,688.5,6100.0,Retailing,Corte Madera,CA,no,no,no,yes, ,Gary G. Friedman,https://www.rh.com,RH,7079
EPAM Systems,721,0.0,3758.1,481.7,58824.0,Technology,Newtown,PA,no,yes,no,yes, ,Arkadiy Dobkin,https://www.epam.com,EPAM,16870.7
M/I Homes,722,0.0,3745.9,396.9,1657.0,Engineering & Construction,Columbus,OH,no,no,no,yes, ,Robert H. Schottenstein,https://www.mihomes.com,MHO,1262.2
Generac Holdings,723,0.0,3737.2,550.5,9248.0,Industrials,Waukesha,WI,no,no,no,yes, ,Aaron Jagdfeld,https://www.generac.com,GNRC,9189
Mettler-Toledo International,724,0.0,3717.9,769.0,16700.0,Technology,Columbus,OH,no,no,no,yes, ,Patrick Kaltenbach,https://www.mt.com,MTD,31220.3
Abercrombie & Fitch,725,0.0,3712.8,263.0,19250.0,Retailing,New Albany,OH,no,no,yes,yes, ,Fran Horowitz,https://www.abercrombie.com,ANF,1619.5
Teradyne,726,0.0,3702.9,1014.6,5900.0,Technology,North Reading,MA,no,no,no,yes, ,Mark Jagiela,https://www.teradyne.com,TER,11211
American Equity Investment Life Holding,727,0.0,3689.5,474.0,850.0,Financials,West Des Moines,IA,no,no,no,yes, ,Anant Bhalla,https://www.american-equity.com,AEL,3869.2
Southwest Gas Holdings,728,0.0,3680.5,200.8,12720.0,Energy,Las Vegas,NV,no,no,yes,yes, ,Karen S. Haller,https://www.swgasholdings.com,SWX,5233.6
Pitney Bowes,729,0.0,3673.6,-1.4,11500.0,Technology,Stamford,CT,no,no,no,no, ,Marc B. Lautenbach,https://www.pitneybowes.com,PBI,900.1
Lamb Weston Holdings,730,0.0,3670.9,317.8,7800.0,"Food, Beverages & Tobacco",Eagle,ID,no,no,no,yes, ,Thomas P. Werner,https://www.lambweston.com,LW,8699.1
Alliant Energy,731,0.0,3669.0,659.0,3313.0,Energy,Madison,WI,no,no,no,yes, ,John O. Larsen,https://www.alliantenergy.com,LNT,15670.6
Resolute Forest Products,732,0.0,3664.0,307.0,6900.0,Materials,Calhoun,TN,no,no,no,yes, ,Remi G. Lalonde,https://www.resolutefp.com,RFP,991.7
Parsons,733,0.0,3660.8,64.1,15500.0,Aerospace & Defense,Centreville,VA,no,no,yes,yes, ,Carey A. Smith,https://www.parsons.com,PSN,4012
Trimble,734,0.0,3659.1,492.7,11931.0,Technology,Sunnyvale,CA,no,no,no,yes, ,Robert G. Painter,https://www.trimble.com,TRMB,18122.7
OGE Energy,735,0.0,3653.7,737.3,2185.0,Energy,Oklahoma City,OK,no,no,no,yes, ,Sean Trauschke,https://www.ogeenergy.com,OGE,8164.2
Garrett Motion,736,0.0,3633.0,,7600.0,Motor Vehicles & Parts,Plymouth,MI,no,no,no,no, ,Olivier Rabiller,https://www.garrettmotion.com,GTX,463.9
Winnebago Industries,737,0.0,3629.8,281.9,6532.0,Motor Vehicles & Parts,Eden Prairie,MN,no,no,no,yes, ,Michael Happe,https://www.winnebagoind.com,WGO,1826
